"ENGINEERING CUTOFF RANK OF CET-2015 - (ROUND-3 ALLOTMENT) ( General ) 21-07-2015"
"1     E001   University Visveswariah College of Engineering          Bangalore"
"1G    1K    1R       2AG  2AK    2AR  2BG   2BK   2BR    3AG  3AK   3AR    3BG  3BK  3BR    GM   GMK   GMR   SCG   SCK   SCR   STG  STK   STR"
"EE   Electrical         --    --   --   4920 --    --  7003 30687  --                 3628   --   --   4676 --              --     1925     --   4954 20174  --    --    --           --    14407"
"ME   Mechanical        4075   --   --   6312 --   9993 5972   --   --                 3388   --   --   3831 --             7873    2478    3673 7735 24723 27703 34664 16530          --      --"
"10     E010   Islamia Institute of Technology      Bangalore"
"1G    1K    1R       2AG  2AK    2AR   2BG      2BK    2BR     3AG    3AK    3AR  3BG  3BK          3BR    GM   GMK    GMR   SCG  SCK           SCR    STG    STK    STR"
"CE Civil                --    --    --     88579 --     88704   --      --     --       --    --     --    --  --            --  55445 74691 83754 84254  --            --    88844   --     --"
"CS Computers          67431   --    --     87027 --       --  60386     --     --     55689   --     --  90440 --          95606 53940   --  91108   --   --            --      --    --     --"
"EC Electronics          --    --    --     111296 --      --  82682     --     --       --    --     -- 110053 --            --  79469 84481 110424110299 --            --      --    --     --"
"                                                             ENGINEERING CUTOFF RANK OF CET-2015 - (ROUND-3 ALLOTMENT) ( General ) 21-07-2015"
"10     E010   Islamia Institute of Technology        Bangalore"
"1G     1K    1R       2AG  2AK  2AR  2BG           2BK    2BR     3AG    3AK    3AR     3BG    3BK    3BR      GM     GMK     GMR   SCG     SCK     SCR  STG  STK         STR"
"ME Mechanical          --     --    --     102805 -- 108153 --            --     --     97569   --     --     85422   --     --     72540    --     89908 88534    --      -- 100157 --          --"
"11     E011   M V J College of Engineering     Bangalore"
"1G    1K    1R   2AG   2AK   2AR            2BG    2BK    2BR     3AG    3AK    3AR     3BG   3BK   3BR    GM   GMK           GMR     SCG    SCK   SCR   STG       STK    STR"
"AE Aeronaut.Engg     20260   --    --  20475 --    31685          15805   --    25196   16962   --      --    17581 24950   --  14935 17318         17865   37045   --   42870 18385      --     --"
"CE Civil             35358   --  48256 45272 --    45673          39898   --      --    36699   --      --    36065   --    --  34059 40211         40711   49598 60647 60841 36077       --     --"
"CH Chemical            --    --    --  75730 --      --           63729   --      --    93257   --      --    77196   --    --  52986   --          79538     --    --     --    --       --     --"
"CS Computers         17221   --    --  21816 --    55249          23391   --      --    21615   --      --    20020   --  26769 15356 23776         23781   45958 104149 64404 53919      --     --"
"EC Electronics       26768   --  39081 28389 42179 67139          33857   --      --    22618   --      --    23044   --  29459 21334 21535         27833   66573   --   73103 29004      --     --"
"EE Electrical        33064 87512   --  39206 --      --           35114   --      --    37945   --    38018   33092   --    --  32893   --          35261   63796   --     --    --       --     --"
"IE Info.Science      26991   --    --  32249 --    57645          31421   --      --    22206   --      --    26880   --    --  20561 21742         27138   64903   --     --    --       --     --"
"IM Ind. Engg.          --    --    --    --    --    --             --    --      --      --    --      --      --    --    --  98005   --            --      --    --     --    --       --     --"
"Mgmt."
"MD Med.Elect.          --     --    --       --      --     --    --    --    --    --          --      --    --      --      --  99480   --    --    --           --       --    --      --     --"
"ME Mechanical        38598    --    --     37857     --   45398 33484 91090 34464 33866         --    43720 30137     --    38735 27005 32064 32725 61903          --     69759 38630     --     --"
"TC Telecommn.        81840    --    --     83507     --     --  79138   --    --  65034         --      --  64251     --      --  61416 61445   --  90874          --       --    --      --     --"
"12     E012   Sir M.Visveswaraya Institute of Technology          Bangalore"
"1G    1K    1R    2AG  2AK          2AR      2BG  2BK   2BR    3AG       3AK    3AR      3BG   3BK    3BR      GM      GMK    GMR      SCG  SCK     SCR     STG    STK    STR"
"BT Bio Technology    29138 45489   --  36933 --           44543   62128   --    --  26147       --      --    29502   --      --    21072     --    36771   86813   --      --      --    --      --"
"CE Civil             16966   --    --  19303 --             --    21338   --    --  16818       --      --    16537   --      --    16024   17754   18580   31749   --      --    24778   --    25872"
"CS Computers         10029   --    --   8272   --         12909    9678   --  27099 4706        --      --     6716   --      --     3366   12716   10085   32196 54650   58117   13173   --      --"
"EC Electronics        6466   --  19012 8628    --         15888   10913 21218   --   4879       --    11870    5796   --      --     4563    9128   10119   21663   --    37596   12129   --      --"
"EE Electrical        16232   --    --  16600 17860        26790   17350   --  62920 14956       --      --    15485   --    35671   10058   16096   20465   45656 55425   92764   19391   --      --"
"IE Info.Science      10187   --    --  12406 --             --    10895   --    --   7874       --      --     9522   --      --     4861   11210   13791   51041   --    76001     --    --      --"
"IM Ind. Engg.          --    --    --  59951 --             --      --    --    --  44558       --      --      --    --      --    14174   76856   74348   109290 --       --    80416   --      --"
"Mgmt."
"ME Mechanical        11649    --   24174 12148 --    19155 19908          --     --     10496   --     --     12317 12756 14946 8594 12728 13434 40202             --     49300 19429     --     --"
"TC Telecommn.        28857    --     --  18465 47338 55987 30981          --     --     12349   --     --     12437   --    --  10926  --  24184 78189             --       --  21391     --     --"
"13     E013   Ghousia Engineering College     Ramanagar"
"1G     1K    1R       2AG  2AK      2AR     2BG    2BK    2BR  3AG  3AK         3AR  3BG  3BK         3BR      GM   GMK   GMR    SCG  SCK  SCR   STG  STK                 STR"
"CE   Civil           95788    --    --     109777 --       --     82833   --     --  78795 --          --   --   --          --     77446 87095 91763 94384  -- 100345108890 --                  --"
"CS   Computers         --     --    --       --   --       --       --    --     --    --  --          --   --   --          --     112415 --     --    --   --   --    --   --                  --"
"EC   Electronics       --     --    --       --   --       --       --    --     --    --  --          --   --   --          --     111805 --     --    --   --   --    --   --                  --"
"EE   Electrical        --     --    --       --   --       --       --    --     --    --  --          --   --   --          --     110313 --     --    --   --   --    --   --                  --"
"IE   Info.Science      --     --    --       --   --       --       --    --     --    --  --          --   --   --          --     109042 --     --    --   --   --    --   --                  --"
"ME   Mechanical        --     --    --       --   --       --     96875   --     -- 102580 --          -- 111744 --          --     95274 99124 99170 111995 --   --  97032  --                  --"
"14     E014   S J C Institute of Technology        Chickballapur"
"1G     1K     1R     2AG    2AK  2AR   2BG   2BK   2BR   3AG             3AK    3AR     3BG   3BK   3BR    GM   GMK   GMR    SCG  SCK               SCR     STG    STK    STR"
"AE   Aeronaut.Engg   20958    --     --    31115 --    49121 38809   --    --  24266            --      --    33123   --    --  20914 26721 29354 43936  --               45346   49441   --     --"
"CE   Civil           65737    --     --    55015 --    68997 54843   --  86683 42210            --      --    42757   --  67952 36741 37948 41815 51278  --               54228   40432   --     --"
"CS   Computers       62975    --     --    42694 --    47227 51022   --  62382 26802            --      --    28665 42900   --  24823 27040 38234 83802  --                 --    34443   --     --"
"EC   Electronics     25188    --     --    42714 --    74722 25787 78478   --  27209            --    37203   39475   --    --  23816 32354 36050 82561  --                 --    36726   --     --"
"IE   Info.Science    77407    --     --    55255 110480 --   90426   --    --  46520            --      --    52726   --    --  45497 50327 57611 110509 --                 --    63678   --     --"
"ME   Mechanical      57275    --   61575   56555 78053 71691 36576   --    --  34760            --      --    46863   --    --  34271 47208 51977 63010  --               69374   34735   --     --"
"TC   Telecommn.      64054    --     --    69799 --      --  90639   --    --  67249            --    81310   79465   --    --  63480   --  79039 101107 --                 --    70368   --     --"
"15     E015   Dr.T.Thimmaiah Institute of Technology        K.G.F."
"1G     1K    1R       2AG  2AK      2AR     2BG    2BK    2BR  3AG  3AK         3AR  3BG  3BK         3BR      GM   GMK    GMR   SCG  SCK           SCR     STG    STK    STR"
"CE   Civil           103370   --    --     103551 --       --      --     --     -- 101418 --          -- 109104 --          --     96642 98023 102260112173 --            --      --     --     --"
"CS   Computers         --     --    --       --   --       --      --     --     --   --   --          --   --   --          --     112286 --     --    --   --            --      --     --     --"
"EC   Electronics       --     --    --       --   --       --      --     --     --   --   --          --   --   --          --     111634 --     --    --   --            --      --     --     --"
"EE   Electrical        --     --    --       --   --       --      --     --     --   --   --          --   --   --          --     108130 --     --    --   --            --      --     --     --"
"ME   Mechanical        --     --    --       --   --       --      --     --     --   --   --          --   --   --          --     111145 --     --    --   --            --      --     --     --"
"MN   Mining            --     --    --       --   --       --      --     --     --   --   --          --   --   --          --     110561 --     --    --   --            --      --     --     --"
"                                                            ENGINEERING CUTOFF RANK OF CET-2015 - (ROUND-3 ALLOTMENT) ( General ) 21-07-2015"
"16     E016   Siddaganga Institute of Technology       Tumkur"
"1G    1K    1R       2AG  2AK   2AR   2BG  2BK          2BR      3AG   3AK    3AR      3BG   3BK    3BR      GM      GMK     GMR    SCG   SCK   SCR       STG    STK    STR"
"BT Bio Technology      --    --    --     36828 --      --    --   --          --       --    --      --      --    --      --    24485   32262   31744   47578   --    --      51611   --    67846"
"CE Civil             13632   --    --     14408 17184 15379 23386  --          --     11217   --      --    12294   --      --    10099     --    14980   26996   --  46408       --    --      --"
"CH Chemical          28785   --    --     27173 --    37374 56340  --          --     37837   --      --    31262   --      --    22314   24818   29865   96775   --    --      63779   --      --"
"CS Computers          8198   --    --      9448   --  18594 14313  --          --      6492   --      --     8953   --    11409    6469    9632    8381   34264 49688 95029     20458   --      --"
"EC Electronics        7200   --    --      7671   --  11010 9387 38305         --      6843   --      --     6166   --    10066    5786   10011    9560   33621   --  77957     15885   --      --"
"EE Electrical        20231   --    --     11606 --      --  14949  --          --     12471   --    28210   15024   --      --    10972     --    15188   30121 41249   --        --    --      --"
"EI Elec. Inst.       46622 49207 68404    24166 --      --  35635  --          --     14795   --      --    14703   --      --    14204   37367   26350   63813   --    --        --    --      --"
"Engineering"
"IE Info.Science      12103   --    --     11781   --      --  16062     --     --      8033 22685 15974 9357        --     --      7197   --  14936 37615         --     --      --     --    28703"
"IM Ind. Engg.        76287   --    --     40359   --    91650 83710     --     --     26052   --    --  30608       --     --     22453 61970 33916 89335         --     --      --     --      --"
"Mgmt."
"ME Mechanical        14240   --   19484 18515 --    21345 22263         --    23075 14504     --     --     12581 14273 14577 10703 11312 14036 36235             --    44591 23093     --     --"
"TC Telecommn.        17317   --     --  15365 66952 30214 28289         --      --  14601     --     --     13401   --    --  11721   --  12142 54167             --    82782   --      --     --"
"17     E017   Sri Siddartha Institute of Technology       Tumkur"
"1G    1K    1R   2AG       2AK    2AR     2BG    2BK    2BR     3AG   3AK   3AR   3BG        3BK    3BR      GM   GMK       GMR     SCG    SCK    SCR     STG    STK    STR"
"CE Civil             46552   --    --  40179      --    41065   38624   --      --    39748 70634   --  40527       --      --    34844   --      38608   46689   --    53630   46657   --    56587"
"CS Computers         42027   --  93380 55342      --    59015   72028   --    95035   41997   --  62247 39048       --    53861   33755 40921     50919   98455   --      --    89091   --      --"
"EC Electronics       42390   --  71862 88810      --      --    96582   --      --    45527   --    --  52974       --    70910   37004 45181     55491   80813   --      --    43816   --      --"
"EE Electrical        68854 94758   --  66435      --    83665   79592   --      --    67709   --    --  73964       --      --    47481 47520     60765   77131   --    91630   76781   --      --"
"IE Info.Science        --    --    --    --       --      --      --    --      --      --    --    --    --        --      --    110558 --         --      --    --      --      --    --      --"
"IM Ind. Engg.          --    --    --    --       --      --      --    --      --      --    --    --    --        --      --    103484 --         --      --    --      --      --    --      --"
"Mgmt."
"MD Med.Elect.          --    --    --       --    --    --    --        --      --    --      --     --       --    --     --     107405 --     --    --          --      --    --      --     --"
"ME Mechanical        51140   --    --     56098 68446 56549 56839       --    78771 46798     --     --     47625   --     --     40323 43687 47730 81494         --    83073 78610     --     --"
"TC Telecommn.          --    --    --       --    --    --    --        --      --    --      --     --       --    --     --     102687 --     --    --          --      --    --      --     --"
"18     E018   Kalpatharu Institute of Technology       Tiptur"
"1G    1K    1R       2AG  2AK  2AR   2BG  2BK           2BR  3AG  3AK         3AR     3BG   3BK   3BR        GM    GMK  GMR          SCG  SCK     SCR   STG  STK        STR"
"CE   Civil           91511   --    --     87472 --   91706 77726 --            --  80088 --          --     71540 73959   --      63596   --  68645       80710  --     88286  --   --         --"
"CS   Computers       84554   --    --     105669 -- 108208111772 --            -- 101455 --          --     87376   --    --      75448 99417 87462       108742 --       -- 109636 --         --"
"EC   Electronics       --    --    --       --   --    --    --  --            -- 110728 --          --       --    --    --      110574111707 --         110872 --       --   --   --         --"
"IE   Info.Science      --    --    --       --   --    --    --  --            --    --  --          --       --    --    --      112352 --     --          --   --       --   --   --         --"
"ME   Mechanical      94956   --    --     100087 -- 107624 82299 --            --  92190 --          --     84325   --  94794     80700 86187 88711       109530 --       -- 100525 --         --"
"21     E021   Sri Jayachamarajendra College of Engineering.        Mysore"
"1G   1K    1R    2AG  2AK    2AR  2BG  2BK   2BR    3AG  3AK    3AR   3BG  3BK    3BR   GM   GMK                             GMR     SCG  SCK     SCR      STG   STK     STR"
"CE   Civil            9230  --  12653 10000 --    15498 12583  --    --   8699 14232   --   9985   --    --   8132 10521                          11320   15660   --    21749   14886   --    17419"
"CS   Computers        5479  --    --   4475 8799 5653 4758     --    --   1506   --   5958 2241    --    --   1320 3688                            3655   16675 20129   39292    8097   --    22530"
"EC   Electronics      3902  --   6556 3977    --   7247 7419 11524 12444 2323    --    --   2301   --    --   1684 3390                            4376   12153   --    16635    3241   --      --"
"EE   Electrical       7281 9745   --   7944   --  24380 8074   --  16924 5919    --   9200 7085    --    --   5526 5830                            7016   23275   --    24703   11033   --      --"
